Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.08     0.00       37     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::max_size() const
  0.00      2.08     0.00       37     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::max_size(std::allocator<Edge> const&)
  0.00      2.08     0.00       37     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_max_size(std::allocator<Edge> const&)
  0.00      2.08     0.00       37     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      2.08     0.00       37     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_do_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&, std::integral_constant<bool, true>)
  0.00      2.08     0.00       37     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_use_relocate()
  0.00      2.08     0.00       37     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      2.08     0.00       37     0.00     0.00  Edge* std::__relocate_a<Edge*, Edge*, std::allocator<Edge> >(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      2.08     0.00       37     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Edge, void>::value, Edge*>::type std::__relocate_a_1<Edge, Edge>(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      2.08     0.00       27     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.08     0.00       24     0.00     0.00  unsigned int** std::__niter_base<unsigned int**>(unsigned int**)
  0.00      2.08     0.00       22     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_deallocate(Edge*, unsigned long)
  0.00      2.08     0.00       20     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::end()
  0.00      2.08     0.00       20     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::begin()
  0.00      2.08     0.00       19     0.00     0.00  __gnu_cxx::new_allocator<Edge>::deallocate(Edge*, unsigned long)
  0.00      2.08     0.00       19     0.00     0.00  __gnu_cxx::new_allocator<Edge>::allocate(unsigned long, void const*)
  0.00      2.08     0.00       19     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_allocate(unsigned long)
  0.00      2.08     0.00       19     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::deallocate(std::allocator<Edge>&, Edge*, unsigned long)
  0.00      2.08     0.00       19     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::allocate(std::allocator<Edge>&, unsigned long)
  0.00      2.08     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::new_allocator()
  0.00      2.08     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::~new_allocator()
  0.00      2.08     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00      2.08     0.00       18     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_map_allocator() const
  0.00      2.08     0.00       18     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_M_check_len(unsigned long, char const*) const
  0.00      2.08     0.00       18     0.00     0.00  std::allocator<unsigned int*>::allocator<unsigned int>(std::allocator<unsigned int> const&)
  0.00      2.08     0.00       18     0.00     0.00  std::allocator<unsigned int*>::~allocator()
  0.00      2.08     0.00       18     0.00     0.00  void std::vector<Edge, std::allocator<Edge> >::_M_realloc_insert<Edge>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Edge&&)
  0.00      2.08     0.00       16     0.00     0.00  unsigned int** std::__miter_base<unsigned int**>(unsigned int**)
  0.00      2.08     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::deallocate(unsigned int**, unsigned long)
